competitor,month,list_price_eur,promo_active,promo_discount_pct,shelf_price_eur
PulsUp,2025-09-01,1.1,False,0,1.1
PulsUp,2025-10-01,1.09,True,10,0.98
PulsUp,2025-11-01,1.1,False,0,1.1
PulsUp,2025-12-01,1.09,False,0,1.09
PulsUp,2026-01-01,1.11,False,0,1.11
PulsUp,2026-02-01,1.09,True,20,0.87
PulsUp,2026-03-01,1.08,False,0,1.08
PulsUp,2026-04-01,1.1,False,0,1.1
PulsUp,2026-05-01,1.11,False,0,1.11
PulsUp,2026-06-01,1.08,False,0,1.08
PulsUp,2026-07-01,1.08,False,0,1.08
PulsUp,2026-08-01,1.07,False,0,1.07
Mate Libre,2025-09-01,1.58,False,0,1.58
Mate Libre,2025-10-01,1.58,False,0,1.58
Mate Libre,2025-11-01,1.57,False,0,1.57
Mate Libre,2025-12-01,1.58,False,0,1.58
Mate Libre,2026-01-01,1.57,False,0,1.57
Mate Libre,2026-02-01,1.58,False,0,1.58
Mate Libre,2026-03-01,1.6,False,0,1.6
Mate Libre,2026-04-01,1.58,False,0,1.58
Mate Libre,2026-05-01,1.58,False,0,1.58
Mate Libre,2026-06-01,1.58,False,0,1.58
Mate Libre,2026-07-01,1.58,True,20,1.26
Mate Libre,2026-08-01,1.6,False,0,1.6
VoltFit,2025-09-01,2.4,False,0,2.4
VoltFit,2025-10-01,2.39,False,0,2.39
VoltFit,2025-11-01,2.38,False,0,2.38
VoltFit,2025-12-01,2.39,False,0,2.39
VoltFit,2026-01-01,2.38,False,0,2.38
VoltFit,2026-02-01,2.41,False,0,2.41
VoltFit,2026-03-01,2.4,False,0,2.4
VoltFit,2026-04-01,2.38,False,0,2.38
VoltFit,2026-05-01,2.38,False,0,2.38
VoltFit,2026-06-01,2.4,True,10,2.16
VoltFit,2026-07-01,2.38,False,0,2.38
VoltFit,2026-08-01,2.37,False,0,2.37
Root & Rise,2025-09-01,2.95,False,0,2.95
Root & Rise,2025-10-01,2.93,False,0,2.93
Root & Rise,2025-11-01,2.97,False,0,2.97
Root & Rise,2025-12-01,2.95,False,0,2.95
Root & Rise,2026-01-01,2.96,False,0,2.96
Root & Rise,2026-02-01,2.94,True,15,2.5
Root & Rise,2026-03-01,2.95,False,0,2.95
Root & Rise,2026-04-01,2.97,False,0,2.97
Root & Rise,2026-05-01,2.95,False,0,2.95
Root & Rise,2026-06-01,2.94,False,0,2.94
Root & Rise,2026-07-01,2.94,False,0,2.94
Root & Rise,2026-08-01,2.95,False,0,2.95
