competitor,positioning,channel,format,price_eur,marketing_spend_index_0_100
PulsUp,Mass market,DTC Online,Single can (330ml),1.15,100
PulsUp,Mass market,DTC Online,4-pack,1.07,100
PulsUp,Mass market,DTC Online,12-pack subscription,0.98,100
PulsUp,Mass market,Retail/Grocery,Single can (330ml),1.07,100
PulsUp,Mass market,Retail/Grocery,4-pack,1.06,100
PulsUp,Mass market,Retail/Grocery,12-pack subscription,0.96,100
PulsUp,Mass market,Gym & Office,Single can (330ml),1.28,100
PulsUp,Mass market,Gym & Office,4-pack,1.18,100
Mate Libre,Heritage / loyal niche,Retail/Grocery,Single can (330ml),1.59,40
Mate Libre,Heritage / loyal niche,Retail/Grocery,4-pack,1.5,40
Mate Libre,Heritage / loyal niche,Retail/Grocery,12-pack subscription,1.37,40
Mate Libre,Heritage / loyal niche,Gym & Office,Single can (330ml),1.83,40
Mate Libre,Heritage / loyal niche,Gym & Office,4-pack,1.73,40
VoltFit,Premium performance,DTC Online,Single can (330ml),2.49,85
VoltFit,Premium performance,DTC Online,4-pack,2.42,85
VoltFit,Premium performance,DTC Online,12-pack subscription,2.19,85
VoltFit,Premium performance,Retail/Grocery,Single can (330ml),2.37,85
VoltFit,Premium performance,Retail/Grocery,4-pack,2.3,85
VoltFit,Premium performance,Retail/Grocery,12-pack subscription,2.1,85
VoltFit,Premium performance,Gym & Office,Single can (330ml),2.72,85
VoltFit,Premium performance,Gym & Office,4-pack,2.66,85
Root & Rise,Boutique adaptogenic,DTC Online,Single can (330ml),3.11,15
Root & Rise,Boutique adaptogenic,DTC Online,4-pack,2.96,15
Root & Rise,Boutique adaptogenic,DTC Online,12-pack subscription,2.67,15
Root & Rise,Boutique adaptogenic,Retail/Grocery,Single can (330ml),2.98,15
Root & Rise,Boutique adaptogenic,Retail/Grocery,4-pack,2.82,15
Root & Rise,Boutique adaptogenic,Retail/Grocery,12-pack subscription,2.54,15
