week_start_date,country,channel,units_sold,revenue_eur,promo_active
2025-01-06,Netherlands,DTC Online,1139,1537.22,False
2025-01-06,Netherlands,Retail/Grocery,2321,3169.66,False
2025-01-06,Netherlands,Gym & Office,581,777.69,False
2025-01-06,Denmark,DTC Online,914,1198.06,False
2025-01-06,Denmark,Retail/Grocery,1029,1385.76,False
2025-01-06,Denmark,Gym & Office,490,680.41,False
2025-01-06,Sweden,DTC Online,917,1253.04,False
2025-01-06,Sweden,Retail/Grocery,1547,2104.34,False
2025-01-06,Sweden,Gym & Office,560,761.77,False
2025-01-13,Netherlands,DTC Online,1261,1705.51,False
2025-01-13,Netherlands,Retail/Grocery,2334,3188.34,False
2025-01-13,Netherlands,Gym & Office,619,820.97,False
2025-01-13,Denmark,DTC Online,867,1158.91,False
2025-01-13,Denmark,Retail/Grocery,1097,1517.38,False
2025-01-13,Denmark,Gym & Office,451,604.57,False
2025-01-13,Sweden,DTC Online,907,1214.64,False
2025-01-13,Sweden,Retail/Grocery,1516,2054.06,False
2025-01-13,Sweden,Gym & Office,576,769.9,False
2025-01-20,Netherlands,DTC Online,1260,1725.23,False
2025-01-20,Netherlands,Retail/Grocery,2389,3264.4,False
2025-01-20,Netherlands,Gym & Office,641,856.03,False
2025-01-20,Denmark,DTC Online,856,1150.26,True
2025-01-20,Denmark,Retail/Grocery,1078,1451.14,False
2025-01-20,Denmark,Gym & Office,515,694.01,False
2025-01-20,Sweden,DTC Online,1035,1430.74,False
2025-01-20,Sweden,Retail/Grocery,1445,1971.03,False
2025-01-20,Sweden,Gym & Office,662,914.24,False
2025-01-27,Netherlands,DTC Online,1313,1728.66,False
2025-01-27,Netherlands,Retail/Grocery,2151,2983.69,True
2025-01-27,Netherlands,Gym & Office,585,771.37,False
2025-01-27,Denmark,DTC Online,812,1076.75,False
2025-01-27,Denmark,Retail/Grocery,1022,1372.79,False
2025-01-27,Denmark,Gym & Office,526,708.99,False
2025-01-27,Sweden,DTC Online,1027,1346.64,False
2025-01-27,Sweden,Retail/Grocery,1371,1884.39,False
2025-01-27,Sweden,Gym & Office,620,828.76,False
2025-02-03,Netherlands,DTC Online,1307,1794.82,False
2025-02-03,Netherlands,Retail/Grocery,2401,3247.22,False
2025-02-03,Netherlands,Gym & Office,634,859.35,False
2025-02-03,Denmark,DTC Online,860,1181.15,False
2025-02-03,Denmark,Retail/Grocery,1117,1488.78,False
2025-02-03,Denmark,Gym & Office,478,636.95,False
2025-02-03,Sweden,DTC Online,1040,1375.42,False
2025-02-03,Sweden,Retail/Grocery,1453,1923.34,False
2025-02-03,Sweden,Gym & Office,679,932.84,False
2025-02-10,Netherlands,DTC Online,1204,1673.55,False
2025-02-10,Netherlands,Retail/Grocery,2329,3119.56,False
2025-02-10,Netherlands,Gym & Office,663,903.94,False
2025-02-10,Denmark,DTC Online,842,1133.18,False
2025-02-10,Denmark,Retail/Grocery,1153,1521.2,True
2025-02-10,Denmark,Gym & Office,545,747.6,False
2025-02-10,Sweden,DTC Online,1096,1449.07,False
2025-02-10,Sweden,Retail/Grocery,1551,2094.78,False
2025-02-10,Sweden,Gym & Office,620,856.89,False
2025-02-17,Netherlands,DTC Online,1342,1865.41,False
2025-02-17,Netherlands,Retail/Grocery,2478,3391.17,False
2025-02-17,Netherlands,Gym & Office,628,828.08,False
2025-02-17,Denmark,DTC Online,831,1133.83,False
2025-02-17,Denmark,Retail/Grocery,1066,1449.25,False
2025-02-17,Denmark,Gym & Office,501,669.3,False
2025-02-17,Sweden,DTC Online,981,1326.45,False
2025-02-17,Sweden,Retail/Grocery,1614,2139.12,False
2025-02-17,Sweden,Gym & Office,681,929.12,False
2025-02-24,Netherlands,DTC Online,1396,1872.66,False
2025-02-24,Netherlands,Retail/Grocery,2417,3265.21,True
2025-02-24,Netherlands,Gym & Office,666,893.57,False
2025-02-24,Denmark,DTC Online,892,1195.97,True
2025-02-24,Denmark,Retail/Grocery,1131,1509.27,False
2025-02-24,Denmark,Gym & Office,520,690.03,False
2025-02-24,Sweden,DTC Online,1078,1447.93,False
2025-02-24,Sweden,Retail/Grocery,1473,2015.75,False
2025-02-24,Sweden,Gym & Office,672,902.53,False
2025-03-03,Netherlands,DTC Online,1457,1924.89,False
2025-03-03,Netherlands,Retail/Grocery,2835,3833.06,False
2025-03-03,Netherlands,Gym & Office,767,1041.08,False
2025-03-03,Denmark,DTC Online,919,1250.98,False
2025-03-03,Denmark,Retail/Grocery,1216,1637.87,False
2025-03-03,Denmark,Gym & Office,608,805.99,False
2025-03-03,Sweden,DTC Online,1109,1496.3,False
2025-03-03,Sweden,Retail/Grocery,1667,2261.96,False
2025-03-03,Sweden,Gym & Office,745,989.13,False
2025-03-10,Netherlands,DTC Online,1362,1816.65,False
2025-03-10,Netherlands,Retail/Grocery,2702,3565.45,False
2025-03-10,Netherlands,Gym & Office,697,922.85,False
2025-03-10,Denmark,DTC Online,1026,1345.91,False
2025-03-10,Denmark,Retail/Grocery,1288,1787.9,False
2025-03-10,Denmark,Gym & Office,561,756.46,False
2025-03-10,Sweden,DTC Online,1109,1513.85,False
2025-03-10,Sweden,Retail/Grocery,1819,2436.97,False
2025-03-10,Sweden,Gym & Office,665,884.8,False
2025-03-17,Netherlands,DTC Online,1368,1842.48,False
2025-03-17,Netherlands,Retail/Grocery,2598,3413.21,False
2025-03-17,Netherlands,Gym & Office,741,1027.67,True
2025-03-17,Denmark,DTC Online,975,1327.22,True
2025-03-17,Denmark,Retail/Grocery,1233,1677.34,False
2025-03-17,Denmark,Gym & Office,585,773.98,False
2025-03-17,Sweden,DTC Online,1126,1551.57,False
2025-03-17,Sweden,Retail/Grocery,1677,2290.84,False
2025-03-17,Sweden,Gym & Office,729,975.39,False
2025-03-24,Netherlands,DTC Online,1373,1829.24,False
2025-03-24,Netherlands,Retail/Grocery,2636,3648.47,False
2025-03-24,Netherlands,Gym & Office,696,939.79,False
2025-03-24,Denmark,DTC Online,1062,1438.75,False
2025-03-24,Denmark,Retail/Grocery,1398,1926.49,False
2025-03-24,Denmark,Gym & Office,598,821.96,False
2025-03-24,Sweden,DTC Online,1244,1640.76,False
2025-03-24,Sweden,Retail/Grocery,1615,2160.39,False
2025-03-24,Sweden,Gym & Office,687,924.22,False
2025-03-31,Netherlands,DTC Online,1472,2043.25,False
2025-03-31,Netherlands,Retail/Grocery,2604,3566.96,False
2025-03-31,Netherlands,Gym & Office,690,942.36,False
2025-03-31,Denmark,DTC Online,988,1310.58,False
