month,channel,reach,engagements,conversions_customers_acquired,spend_eur,cac_eur,ltv_estimate_eur
2025-01-01,Paid Social,23175,263,26,1133.08,43.58,137.28
2025-02-01,Paid Social,31939,419,41,1854.02,45.22,139.25
2025-03-01,Paid Social,33602,368,29,1496.11,51.59,174.69
2025-04-01,Paid Social,54151,688,57,2904.72,50.96,144.0
2025-05-01,Paid Social,39974,498,39,1838.85,47.15,157.69
2025-06-01,Paid Social,39133,539,55,2393.6,43.52,104.81
2025-07-01,Paid Social,67452,881,72,3378.24,46.92,127.22
2025-08-01,Paid Social,59672,644,53,2435.35,45.95,134.5
2025-09-01,Paid Social,42687,524,54,2359.26,43.69,141.33
2025-10-01,Paid Social,43932,599,52,2347.28,45.14,124.81
2025-11-01,Paid Social,38772,481,42,1802.22,42.91,143.51
2025-12-01,Paid Social,42422,549,48,2018.88,42.06,138.28
2026-01-01,Paid Social,34130,414,38,1623.74,42.73,113.51
2026-02-01,Paid Social,35760,401,37,1677.21,45.33,117.85
2026-03-01,Paid Social,55441,605,61,2490.02,40.82,132.01
2026-04-01,Paid Social,63369,732,64,2839.04,44.36,118.6
2026-05-01,Paid Social,78095,905,77,3796.87,49.31,112.7
2026-06-01,Paid Social,97171,1338,107,5200.2,48.6,116.39
2025-01-01,Influencer / Content,28322,998,130,5188.3,39.91,104.5
2025-02-01,Influencer / Content,28576,922,106,3657.0,34.5,91.85
2025-03-01,Influencer / Content,25788,739,88,3596.56,40.87,107.64
2025-04-01,Influencer / Content,36314,966,122,4257.8,34.9,102.14
2025-05-01,Influencer / Content,51820,1436,159,6038.82,37.98,113.75
2025-06-01,Influencer / Content,31761,871,92,3571.44,38.82,103.31
2025-07-01,Influencer / Content,54012,1913,201,8066.13,40.13,130.47
2025-08-01,Influencer / Content,32073,972,123,4543.62,36.94,104.9
2025-09-01,Influencer / Content,47387,1507,194,7496.16,38.64,127.87
2025-10-01,Influencer / Content,41276,1130,139,5394.59,38.81,123.3
2025-11-01,Influencer / Content,24065,681,88,3337.84,37.93,83.74
2025-12-01,Influencer / Content,22588,698,74,2835.68,38.32,103.52
2026-01-01,Influencer / Content,27086,786,92,3112.36,33.83,81.99
2026-02-01,Influencer / Content,21394,661,79,2624.38,33.22,95.69
2026-03-01,Influencer / Content,26022,734,95,3618.55,38.09,92.57
2026-04-01,Influencer / Content,52987,1826,215,8314.05,38.67,90.14
2026-05-01,Influencer / Content,51828,1404,148,4869.2,32.9,74.92
2026-06-01,Influencer / Content,33098,944,113,4210.38,37.26,82.4
2025-01-01,Retail Sampling,19021,1946,449,28973.97,64.53,145.21
2025-02-01,Retail Sampling,18822,1842,390,23790.0,61.0,204.62
2025-03-01,Retail Sampling,22313,2000,474,29283.72,61.78,160.87
2025-04-01,Retail Sampling,35698,3062,636,36334.68,57.13,150.45
2025-05-01,Retail Sampling,35127,3267,821,52954.5,64.5,204.31
2025-06-01,Retail Sampling,26243,2624,560,35722.4,63.79,211.15
2025-07-01,Retail Sampling,28773,2297,510,33104.1,64.91,201.33
2025-08-01,Retail Sampling,34970,3102,721,45913.28,63.68,179.44
2025-09-01,Retail Sampling,40831,3127,716,46017.32,64.27,166.24
2025-10-01,Retail Sampling,35270,3530,886,54559.88,61.58,185.57
2025-11-01,Retail Sampling,23228,2081,491,30442.0,62.0,162.32
2025-12-01,Retail Sampling,41543,4234,925,55648.0,60.16,182.85
2026-01-01,Retail Sampling,19741,1715,389,23546.17,60.53,196.35
2026-02-01,Retail Sampling,39342,3843,900,47169.0,52.41,146.62
2026-03-01,Retail Sampling,22630,2240,566,35771.2,63.2,174.44
2026-04-01,Retail Sampling,50341,5149,1127,65151.87,57.81,144.06
2026-05-01,Retail Sampling,34408,3509,818,43018.62,52.59,178.39
2026-06-01,Retail Sampling,33079,3360,701,38926.53,55.53,140.85
2025-01-01,Referral / Subscription,27503,1444,574,17214.26,29.99,89.93
2025-02-01,Referral / Subscription,32759,1704,595,18201.05,30.59,79.51
2025-03-01,Referral / Subscription,21389,1094,432,11344.32,26.26,68.59
2025-04-01,Referral / Subscription,41390,2220,829,24480.37,29.53,92.79
2025-05-01,Referral / Subscription,52492,2575,829,22515.64,27.16,69.24
2025-06-01,Referral / Subscription,30017,1429,514,13698.1,26.65,88.76
2025-07-01,Referral / Subscription,49070,2179,720,19893.6,27.63,85.22
2025-08-01,Referral / Subscription,37150,1908,606,16701.36,27.56,74.64
2025-09-01,Referral / Subscription,44047,2399,949,24645.53,25.97,77.82
2025-10-01,Referral / Subscription,34174,1507,450,13468.5,29.93,77.19
2025-11-01,Referral / Subscription,36986,1737,557,16063.88,28.84,68.55
2025-12-01,Referral / Subscription,25417,1365,528,15597.12,29.54,66.21
2026-01-01,Referral / Subscription,24841,1243,460,12125.6,26.36,84.81
2026-02-01,Referral / Subscription,32030,1664,533,14044.55,26.35,88.53
2026-03-01,Referral / Subscription,21865,1195,375,10710.0,28.56,91.9
2026-04-01,Referral / Subscription,51503,2363,886,26199.02,29.57,92.59
2026-05-01,Referral / Subscription,60065,3208,1055,30436.75,28.85,95.06
2026-06-01,Referral / Subscription,38596,1653,560,14901.6,26.61,73.66
