respondent_id,segment,too_cheap_eur,cheap_eur,expensive_eur,too_expensive_eur
1,Urban Wellness Professionals,1.15,1.83,2.77,3.31
2,On-the-go Commuters,0.84,1.21,2.23,2.8
3,On-the-go Commuters,0.92,1.35,2.25,2.62
4,Fitness & Gym-Goers,0.88,1.51,2.07,3.14
5,Students & Budget-Conscious,0.72,1.0,1.58,2.02
6,On-the-go Commuters,1.06,1.55,2.21,2.52
7,On-the-go Commuters,0.86,1.31,2.27,2.76
8,Urban Wellness Professionals,1.25,1.76,2.61,3.47
9,Urban Wellness Professionals,1.3,1.98,2.79,3.6
10,Urban Wellness Professionals,1.14,1.98,2.94,3.81
11,On-the-go Commuters,1.07,1.38,2.28,2.82
12,On-the-go Commuters,0.76,1.53,2.06,2.7
13,Students & Budget-Conscious,0.81,1.24,1.81,2.1
14,Fitness & Gym-Goers,1.13,1.58,2.46,3.0
15,Fitness & Gym-Goers,0.59,2.04,2.44,2.91
16,Students & Budget-Conscious,0.6,1.3,1.85,1.98
17,Urban Wellness Professionals,1.15,1.65,2.93,3.14
18,Urban Wellness Professionals,1.4,1.9,2.43,3.39
19,Fitness & Gym-Goers,0.99,1.49,2.44,3.0
20,On-the-go Commuters,0.89,1.38,1.93,2.75
21,Students & Budget-Conscious,0.53,0.99,1.82,2.28
22,Fitness & Gym-Goers,1.04,1.63,2.33,3.64
23,Students & Budget-Conscious,0.86,1.06,1.69,2.26
24,On-the-go Commuters,0.97,1.32,1.98,2.66
25,Urban Wellness Professionals,1.09,2.09,3.06,3.48
26,Urban Wellness Professionals,1.12,1.59,2.84,3.51
27,Students & Budget-Conscious,0.74,1.01,1.86,2.4
28,Fitness & Gym-Goers,0.96,1.83,2.27,3.22
29,Students & Budget-Conscious,0.65,1.02,1.23,2.33
30,Fitness & Gym-Goers,1.05,1.56,2.57,3.39
31,Students & Budget-Conscious,0.57,0.93,1.63,1.91
32,Fitness & Gym-Goers,0.92,1.58,2.57,2.92
33,On-the-go Commuters,0.67,1.66,2.09,2.86
34,Urban Wellness Professionals,1.14,1.65,2.75,3.57
35,On-the-go Commuters,0.9,1.31,2.14,2.52
36,Students & Budget-Conscious,0.77,1.08,2.02,2.08
37,Students & Budget-Conscious,0.45,1.04,1.38,1.98
